num,kanji,meanings,grade,jlpt,readings,unicode
339,技,skill:art:craft:ability:feat:performance:vocation:arts,5,2,わざ:ギ,6280
340,宜,best regards:good,8,1,よろ.しい:よろ.しく:ギ,5b9c
341,偽,falsehood:lie:deceive:pretend:counterfeit:forgery,8,1,いつわ.る:にせ:いつわ.り:ギ:カ,507d
342,欺,deceit:cheat:delude,8,1,あざむ.く:ギ,6b3a
343,義,righteousness:justice:morality:honor:loyalty:meaning,5,1,ギ,7fa9
344,疑,doubt:distrust:be suspicious:question,6,2,うたが.う:ギ,7591
345,儀,ceremony:rule:affair:case:a matter,8,1,ギ,5100
346,戯,frolic:play:sport,8,1,たわむ.れる:ざ.れる:じゃ.れる:ギ:ゲ,622f
347,擬,mimic:aim (a gun) at:nominate:imitate,8,1,まが.い:もど.き:ギ,64ec
348,犠,sacrifice,8,1,いけにえ:ギ:キ,72a0
349,議,deliberation:consultation:debate:consideration,4,2,ギ,8b70
350,菊,chrysanthemum,8,1,キク,83ca
351,吉,good luck:joy:congratulations,8,1,よし:キチ:キツ,5409
352,喫,consume:eat:drink:smoke:receive (a blow),8,2,の.む:キツ,55ab
353,詰,packed:close:pressed:reprove:rebuke:blame,8,2,つ.める:つ.め:-づ.め:つ.まる:つ.む:キツ:キチ,8a70
354,却,instead:on the contrary:rather:step back:withdraw:retreat,8,1,かえ.って:しりぞ.く:しりぞ.ける:キャク,5374
355,客,guest:visitor:customer:client,3,2,キャク:カク,5ba2
356,脚,skids:leg:undercarriage:lower part:base,8,1,あし:キャク:キャ:カク,811a
357,逆,inverted:reverse:opposite:wicked,5,2,さか:さか.さ:さか.らう:ギャク:ゲキ,9006
358,虐,tyrannize:oppress,8,1,しいた.げる:ギャク,8650
359,九,nine,1,4,ここの:ここの.つ:キュウ:ク,4e5d
360,久,long time:old story,5,2,ひさ.しい:キュウ:ク,4e45
361,及,reach out:exert:exercise:cause,8,1,およ.ぶ:およ.び:および:およ.ぼす:キュウ,53ca
362,弓,bow:bow archery,2,1,ゆみ:キュウ,5f13
363,丘,hill:knoll,8,1,おか:キュウ,4e18
364,旧,old times:old things:old friend:former:ex-,5,2,ふる.い:もと:キュウ,65e7
365,休,rest:day off:retire:sleep,1,4,やす.む:やす.まる:やす.める:キュウ,4f11
366,吸,suck:imbibe:inhale:sip,6,2,す.う:キュウ,5438
367,朽,decay:rot:remain in seclusion,8,1,く.ちる:キュウ,673d
368,臼,mortar,8,,うす:うすづ.く:キュウ:グ,81fc
369,求,request:want:wish for:require:demand,4,2,もと.める:キュウ:グ,6c42
370,究,research:study,3,3,きわ.める:キュウ:ク,7a76
371,泣,cry:weep:moan,4,2,な.く:キュウ,6ce3
372,急,hurry:emergency:sudden:steep,3,3,いそ.ぐ:いそ.ぎ:せ.く:キュウ,6025
373,級,class:rank:grade,3,2,キュウ,7d1a
374,糾,twist:ask:investigate:verify,8,1,ただ.す:キュウ,7cfe
375,宮,Shinto shrine:constellations:palace:princess,3,1,みや:キュウ:グウ:ク:クウ,5bae
376,救,salvation:save:help:rescue:reclaim,4,2,すく.う:キュウ,6551
377,球,ball:sphere,3,2,たま:キュウ,7403
378,給,salary:wage:gift:allow:grant:bestow on,4,2,たま.う:たも.う:-たま.え:キュウ,7d66
379,嗅,smell:sniff:scent,8,,か.ぐ:キュウ,55c5
380,窮,hard up:destitute:suffer:perplexed:cornered,8,1,きわ.める:きわ.まる:きわ.まり:きわ.み:キュウ:キョウ,7aae
381,牛,cow,2,3,うし:ギュウ,725b
382,去,gone:past:quit:leave:elapse:eliminate:divorce,3,3,さ.る:-さ.る:キョ:コ,53bb
383,巨,gigantic:big:large:great,8,2,キョ,5de8
384,居,reside:to be:exist:live with,5,2,い.る:-い:お.る:キョ:コ,5c45
385,拒,repel:refuse:reject:decline,8,1,こば.む:キョ:ゴ,62d2
386,拠,foothold:based on:follow:therefore,8,1,よ.る:キョ:コ,62e0
387,挙,raise:plan:project:behavior:actions,4,1,あ.げる:あ.がる:こぞ.る:キョ,6319
388,虚,void:emptiness:unpreparedness:crack:fissure:untruth,8,1,むな.しい:うつ.ろ:キョ:コ,865a
389,許,permit:approve,5,2,ゆる.す:もと:キョ,8a31
390,距,long-distance:spur:fetlock,8,1,へだ.たる:けづめ:キョ,8ddd
391,魚,fish,2,4,うお:さかな:-ざかな:ギョ,9b5a
392,御,honorable:manipulate:govern,8,2,おん-:お-:み-:ギョ:ゴ,5fa1
393,漁,fishing:fishery,4,2,あさ.る:ギョ:リョウ,6f01
394,凶,villain:evil:bad luck:disaster,8,1,キョウ,51f6
395,共,together:both:neither:all:and:alike:with,4,2,とも:とも.に:-ども:キョウ,5171
396,叫,shout:exclaim:yell,8,2,さけ.ぶ:キョウ,53eb
397,狂,lunatic:insane:crazy:confuse,8,1,くる.う:くる.おしい:くるお.しい:キョウ,72c2
398,京,capital:10**16,2,3,みやこ:キョウ:ケイ:キン,4eac
399,享,enjoy:receive:undergo:answer (phone):take:get:catch,8,1,う.ける:キョウ:コウ,4eab
400,供,submit:offer:present:serve (meal):accompany,6,2,そな.える:とも:-ども:キョウ:ク:クウ:グ,4f9b
401,協,co-:cooperation,4,2,キョウ,5354
402,況,condition:situation,8,2,まし.て:いわ.んや:おもむき:キョウ,6cc1
403,峡,gorge:ravine,8,1,はざま:キョウ:コウ,5ce1
404,挟,pinch:between,8,2,はさ.む:はさ.まる:わきばさ.む:さしはさ.む:キョウ:ショウ,631f
405,狭,cramped:narrow:contract:tight,8,2,せま.い:せば.める:せば.まる:さ:キョウ:コウ,72ed
406,恐,fear:dread:awe,8,2,おそ.れる:おそ.る:おそ.ろしい:こわ.い:こわ.がる:キョウ,6050
407,恭,respect:reverent,8,1,うやうや.しい:キョウ,606d
408,胸,bosom:breast:chest:heart:feelings,6,2,むね:むな-:キョウ,80f8
409,脅,threaten:coerce,8,1,おびや.かす:おど.す:おど.かす:キョウ,8105
410,強,strong,2,3,つよ.い:つよ.まる:つよ.める:し.いる:こわ.い:キョウ:ゴウ,5f37
411,教,teach:faith:doctrine,2,3,おし.える:おそ.わる:キョウ,6559
412,郷,home town:village:native place:district,6,1,さと:キョウ:ゴウ,90f7
413,境,boundary:border:region,5,2,さかい:キョウ:ケイ,5883
414,橋,bridge,3,2,はし:キョウ,6a4b
415,矯,rectify:straighten:correct:reform:cure:control:pretend:falsify,8,1,た.める:キョウ,77ef
416,鏡,mirror:speculum:barrel-head:round rice-cake offering,4,1,かがみ:キョウ:ケイ,93e1
417,競,emulate:compete with:bid:sell at auction:bout:contest:race,4,2,きそ.う:せ.る:くら.べる:キョウ:ケイ,7af6
418,響,echo:sound:resound:ring:vibrate,8,1,ひび.く:キョウ,97ff
419,驚,wonder:be surprised:frightened:amazed,8,1,おどろ.く:おどろ.かす:キョウ,9a5a
420,仰,face-up:look up:depend:seek:respect:rever:drink:take,8,1,あお.ぐ:おお.せ:お.っしゃる:おっしゃ.る:ギョウ:コウ,4ef0
421,暁,daybreak:dawn:in the event,8,1,あかつき:さと.る:ギョウ:キョウ,6681
422,業,business:vocation:arts:performance,3,3,わざ:ギョウ:ゴウ,696d
423,凝,congeal:freeze:stiff:be absorbed in,8,1,こ.る:こ.らす:こご.らす:こご.らせる:こご.る:ギョウ,51dd
424,曲,bend:music:melody:composition:pleasure:injustice:fault:curve:crooked:perverse:lean,3,2,ま.がる:ま.げる:くま:キョク,66f2
425,局,bureau:board:office:affair:conclusion:court lady:lady-in-waiting:her apartment,3,2,つぼね:キョク,5c40
426,極,poles:settlement:conclusion:end:highest rank:electric poles:very:extremely:most:highly:10**48,4,2,きわ.める:きわ.まる:きわ.まり:きわ.み:き.める:-ぎ.め:き.まる:キョク:ゴク,6975
427,玉,jewel:ball,1,2,たま:たま-:-だま:ギョク,7389
428,巾,towel:hanging scroll:width:cloth radical (no. 50),8,,おお.い:ちきり:きれ:キン:フク,5dfe
429,斤,axe:1.32 lb:catty:counter for loaves of bread:axe radical (no. 69),8,1,キン,65a4
430,均,level:average,5,2,なら.す:キン,5747
431,近,near:early:akin:tantamount,2,3,ちか.い:キン:コン,8fd1
432,金,gold,1,4,かね:かな-:-がね:キン:コン:ゴン,91d1
433,菌,germ:fungus:bacteria,8,1,キン,83cc
434,勤,diligence:become employed:serve,6,2,つと.める:-づと.め:つと.まる:いそ.しむ:キン:ゴン,52e4
435,琴,harp:koto,8,1,こと:キン:ゴン,7434
436,筋,muscle:sinew:tendon:fiber:plot:plan:descent,6,1,すじ:キン,7b4b
437,僅,a wee bit,8,,わず.か:キン:ゴン,50c5
438,禁,prohibition:ban:forbid,5,2,キン,7981
439,緊,tense:solid:hard:reliable:tight,8,1,し.める:し.まる:キン,7dca
440,錦,brocade:fine dress:honors,8,1,にしき:キン,9326
441,謹,discreet:reverently:humbly,8,1,つつし.む:キン,8b39
442,襟,collar:neck:lapel:one's inner feelings,8,1,えり:キン,895f
443,吟,versify:singing:recital,8,1,ギン,541f
444,銀,silver,3,3,しろがね:ギン,9280
445,区,ward:district,3,3,ク:オウ:コウ,533a
446,句,phrase:clause:sentence:passage:paragraph:counter for haiku,5,1,ク,53e5
447,苦,suffering:trial:worry:hardship:feel bitter:scowl,3,2,くる.しい:-ぐる.しい:くる.しむ:くる.しめる:にが.い:にが.る:ク,82e6
448,駆,drive:run:gallop:advance:inspire:impel,8,1,か.ける:か.る:ク,99c6
449,具,tool:utensil:means:possess:ingredients:counter for furnitures,3,2,そな.える:つぶさ.に:グ,5177
450,惧,fear:be afraid of:dread,8,,おそ.れる:ク:グ,60e7
451,愚,foolish:folly:absurdity:stupid,8,1,おろ.か:グ,611a
452,空,empty:sky:void:vacant:vacuum,1,4,そら:あ.く:あ.き:あ.ける:から:す.く:す.かす:むな.しい:クウ,7a7a
453,偶,accidentally:even number:couple:man & wife:same kind,8,2,たま:グウ,5076
454,遇,meet:encounter:interview:treat:entertain:receive:deal with,8,1,あ.う:グウ,9047
455,隅,corner:nook,8,2,すみ:グウ,9685
456,串,spit:skewer,8,,くし:つらぬ.く:カン:ケン:セン,4e32
457,屈,yield:bend:flinch:submit,8,1,かが.む:かが.める:クツ,5c48
458,掘,dig:delve:excavate,8,2,ほ.る:クツ,6398
459,窟,cavern,8,,いわや:いはや:あな:クツ:コツ,7a9f
460,熊,bear,8,1,くま:ユウ,718a
461,繰,winding:reel:spin:turn (pages):look up:refer to,8,1,く.る:ソウ,7e70
462,君,mister:you:ruler:male name suffix,3,2,きみ:-ぎみ:クン,541b
463,訓,instruction:Japanese character reading:explanation:read,4,2,おし.える:よ.む:くん.ずる:クン:キン,8a13
464,勲,meritorious deed:merit,8,1,いさお:クン,52f2
465,薫,send forth fragrance:fragrant:be scented:smoke (tobacco),8,1,かお.る:クン,85ab
466,軍,army:force:troops:war:battle,4,2,いくさ:グン,8ecd
467,郡,county:district,4,1,こおり:グン,90e1
468,群,flock:group:crowd:herd:swarm:cluster,5,2,む.れる:む.れ:むら:むら.がる:グン,7fa4
469,兄,elder brother:big brother,2,3,あに:ケイ:キョウ,5144
470,刑,punish:penalty:sentence:punishment,8,1,ケイ,5211
471,形,shape:form:style,2,2,かた:-がた:かたち:なり:ケイ:ギョウ,5f62
472,系,lineage:system,6,1,ケイ,7cfb
473,径,diameter:path:method,4,1,みち:こみち:さしわたし:ただちに:ケイ,5f84
474,茎,stalk:stem,8,1,くき:ケイ:キョウ,830e
475,係,person in charge:connection:duty:concern oneself,3,2,かか.る:かかり:-がかり:かか.わる:ケイ,4fc2
476,型,mould:type:model,4,2,かた:-がた:ケイ,578b
477,契,pledge:promise:vow,8,1,ちぎ.る:ケイ,5951
478,計,plot:plan:scheme:measure,2,3,はか.る:はか.らう:ケイ,8a08
479,恵,favor:blessing:grace:kindness,8,2,めぐ.む:めぐ.み:ケイ:エ,6075
480,啓,disclose:open:say,8,1,ひら.く:さと.す:ケイ,5553
481,掲,put up (a notice):put up:hoist:display:hang out:publish:describe,8,1,かか.げる:ケイ,63b2
482,渓,mountain stream:valley,8,1,たに:たにがわ:ケイ,6e13
483,経,sutra:longitude:pass thru:expire:warp,5,2,へ.る:た.つ:たていと:はか.る:のり:ケイ:キョウ:キン,7d4c
484,蛍,lightning-bug:firefly,8,1,ほたる:ケイ,86cd
485,敬,awe:respect:honor:revere,6,2,うやま.う:ケイ:キョウ,656c
486,景,scenery:view,4,2,ケイ,666f
487,軽,lightly:trifling:unimportant,3,3,かる.い:かろ.やか:かろ.んじる:ケイ:キョウ:キン,8efd
488,傾,lean:incline:tilt:trend:wane:sink:ruin:bias,8,2,かたむ.く:かたむ.ける:かたぶ.く:かた.げる:かし.げる:ケイ,50be
489,携,portable:carry (in hand):armed with:bring along,8,1,たずさ.える:たずさ.わる:ケイ,643a
490,継,inherit:succeed:continue:patch:graft (tree),8,1,つ.ぐ:まま-:ケイ,7d99
491,詣,visit a temple:arrive:attain,8,,けい.する:まい.る:いた.る:もう.でる:ケイ:ゲイ,8a63
492,慶,jubilation:congratulate:rejoice:be happy,8,1,よろこ.び:ケイ,6176
493,憬,yearn for:aspire to:admire,8,,あこが.れる:ケイ,61ac
494,稽,think:consider,8,,かんが.える:とど.める:ケイ,7a3d
495,憩,recess:rest:relax:repose,8,1,いこ.い:いこ.う:ケイ,61a9
496,警,admonish:commandment,6,2,いまし.める:ケイ,8b66
497,鶏,chicken,8,1,にわとり:とり:ケイ,9d8f
498,芸,technique:art:craft:performance:acting:trick:stunt,4,2,う.える:のり:わざ:ゲイ:ウン,82b8
499,迎,welcome:meet:greet,8,2,むか.える:ゲイ,8fce
500,鯨,whale,8,1,くじら:ゲイ,9be8
501,隙,crevice:fissure:discord:opportunity:leisure,8,,すき:す.く:す.かす:ひま:ゲキ:キャク:ケキ,9699
502,劇,drama:play,6,2,ゲキ,5287
503,撃,beat:attack:defeat:conquer,8,1,う.つ:ゲキ,6483
504,激,violent:get excited:enraged:chafe:incite,6,1,はげ.しい:ゲキ,6fc0
505,桁,beam:girder:spar:unit or column (accounting),8,,けた:コウ,6841
506,欠,lack:gap:fail:yawning radical (no. 76),4,2,か.ける:か.く:ケツ:ケン,6b20
507,穴,hole:aperture:slit:cave:den,6,1,あな:ケツ,7a74
508,血,blood,3,2,ち:ケツ,8840
509,決,decide:fix:agree upon:appoint,3,2,き.める:-ぎ.め:き.まる:さ.く:ケツ,6c7a
510,結,tie:bind:contract:join:organize:do up hair:fasten,4,2,むす.ぶ:ゆ.う:ゆ.わえる:ケツ:ケチ,7d50
511,傑,greatness:excellence,8,1,すぐ.れる:ケツ,5091
512,潔,undefiled:pure:clean:righteous:gallant,5,1,いさぎよ.い:ケツ,6f54
513,月,month:moon,1,4,つき:ゲツ:ガツ,6708
514,犬,dog,1,3,いぬ:いぬ-:ケン,72ac
515,件,affair:case:matter:item,5,2,くだん:ケン,4ef6
516,見,see:hopes:chances:idea:opinion:look at:visible,1,4,み.る:み.える:み.せる:ケン,898b
517,券,ticket,5,2,ケン,5238
518,肩,shoulder,8,2,かた:ケン,80a9
519,建,build,4,3,た.てる:た.て:-だ.て:た.つ:ケン:コン,5efa
520,研,polish:study of:sharpen,3,3,と.ぐ:ケン,7814
521,県,prefecture,3,3,か.ける:ケン,770c
522,倹,frugal:economy:thrifty,8,1,つま.しい:つづまやか:ケン,5039
523,兼,concurrently:and:beforehand:in advance,8,1,か.ねる:-か.ねる:ケン,517c
524,剣,sabre:sword:blade:clock hand,8,1,つるぎ:ケン,5263
525,拳,fist,8,1,こぶし:ケン:ゲン,62f3
526,軒,flats:counter for houses:eaves,8,2,のき:ケン,8ed2
527,健,healthy:health:strength:persistence,4,2,すこ.やか:ケン,5065
528,険,precipitous:inaccessible place:impregnable position:steep place:sharp eyes,5,2,けわ.しい:ケン,967a
529,圏,sphere:circle:radius:range,8,1,かこ.い:ケン,570f
530,堅,strict:hard:solid:tough:tight:reliable,8,1,かた.い:-がた.い:ケン,5805
531,検,examination:investigate,5,2,しら.べる:ケン,691c
532,嫌,dislike:detest:hate,8,1,きら.う:きら.い:いや:ケン:ゲン,5acc
533,献,offering:counter for drinks:present:offer,8,1,たてまつ.る:ケン:コン,732e
534,絹,silk,6,1,きぬ:ケン,7d79
535,遣,dispatch:despatch:send:give:donate:do:undertake,8,1,つか.う:-つか.い:-づか.い:つか.わす:や.る:ケン,9063
536,権,authority:power:rights,6,2,おもり:かり:はか.る:ケン:ゴン,6a29
537,憲,constitution:law,6,1,ケン,61b2
538,賢,intelligent:wise:wisdom:cleverness,8,2,かしこ.い:ケン,8ce2
539,謙,self-effacing:humble oneself:condescend:be modest,8,1,へりくだ.る:ケン,8b19
540,鍵,key,8,,かぎ:ケン,9375
541,繭,cocoon,8,1,まゆ:きぬ:ケン,7e6d
542,顕,appear:existing,8,1,あきらか:あらわ.れる:ケン,9855
543,験,verification:effect:testing,4,3,あかし:しるし:ため.す:ためし:ケン:ゲン,9a13
544,懸,state of suspension:hang:depend:consult:distant:far apart,8,1,か.ける:か.かる:ケン:ケ,61f8
545,元,beginning:former time:origin,2,3,もと:ゲン:ガン,5143
546,幻,phantasm:vision:dream:illusion:apparition,8,1,まぼろし:ゲン,5e7b
547,玄,mysterious:occultness:black:deep:profound,8,1,くろ:くろ.い:ゲン,7384
548,言,say:word,2,4,い.う:こと:ゲン:ゴン,8a00
549,弦,bowstring:chord:hypotenuse,8,1,つる:ゲン,5f26
550,限,limit:restrict:to best of ability,5,2,かぎ.る:かぎ.り:-かぎ.り:ゲン,9650
551,原,meadow:original:primitive:field:plain:prairie:tundra:wilderness,2,2,はら:ゲン,539f
552,現,present:existing:actual,5,2,あらわ.れる:あらわ.す:うつつ:うつ.つ:ゲン,73fe
553,舷,gunwale,8,,ふなばた:ふなべり:ゲン,8237
554,減,dwindle:decrease:reduce:decline:curtail:get hungry,5,2,へ.る:へ.らす:ゲン,6e1b
555,源,source:origin,6,1,みなもと:ゲン,6e90
556,厳,stern:strictness:severity:rigidity,6,1,おごそ.か:きび.しい:いか.めしい:いつくし:ゲン:ゴン,53b3
557,己,self,6,1,おのれ:つちのと:な:コ:キ,5df1
558,戸,door:counter for houses:door radical (no. 63),2,2,と:コ,6238
559,古,old,2,4,ふる.い:ふる-:-ふる.す:コ,53e4
560,呼,call:call out to:invite,6,2,よ.ぶ:コ,547c
561,固,harden:set:clot:curdle,4,2,かた.める:かた.まる:かた.まり:かた.い:コ,56fa
562,股,thigh:crotch,8,,また:もも:コ,80a1
563,虎,tiger:drunkard,8,1,とら:コ,864e
564,孤,orphan:alone,8,1,コ,5b64
565,弧,arc:arch:bow,8,1,コ,5f27
566,故,happenstance:especially:intentionally:reason:cause:circumstances:the late:therefore:consequently,5,2,ゆえ:ふる.い:もと:コ,6545
567,枯,wither:die:dry up:be seasoned,8,2,か.れる:か.らす:コ,67af
568,個,individual:counter for articles,5,2,コ:カ,500b
569,庫,warehouse:storehouse,3,2,くら:コ:ク,5eab
570,湖,lake,3,2,みずうみ:コ,6e56
571,雇,employ:hire,8,2,やと.う:コ,96c7
572,誇,boast:be proud:pride:triumphantly,8,1,ほこ.る:コ,8a87
573,鼓,drum:beat:rouse:muster,8,1,つづみ:コ,9f13
574,錮,confinement:to tie,8,,ふさ.ぐ:コ,932e
575,顧,look back:review:examine oneself:turn around,8,1,かえり.みる:コ,9867
576,五,five,1,4,いつ:いつ.つ:ゴ,4e94
577,互,mutually:reciprocally:together,8,2,たが.い:かたみ.に:ゴ,4e92
578,午,noon:sign of the horse:11AM-1PM:seventh sign of Chinese zodiac,2,4,うま:ゴ,5348
579,呉,give:do something for:kingdom of Wu,8,1,く.れる:くれ:ゴ,5449
580,後,behind:back:later,2,4,のち:うし.ろ:うしろ:あと:おく.れる:ゴ:コウ,5f8c
581,娯,recreation:pleasure,8,1,ゴ,5a2f
582,悟,enlightenment:perceive:discern:realize:understand,8,1,さと.る:ゴ,609f
583,碁,Go,8,1,ゴ,7881
584,語,word:speech:language,2,4,かた.る:かた.らう:ゴ,8a9e
585,誤,mistake:err:do wrong:mislead,6,2,あやま.る:-あやま.る:ゴ,8aa4
586,護,safeguard:protect,5,1,まも.る:ゴ,8b77
587,口,mouth,1,4,くち:コウ:ク,53e3
588,工,craft:construction:katakana e radical (no. 48),2,3,コウ:ク:グ,5de5
589,公,public:prince:official:governmental,2,2,おおやけ:コウ:ク,516c
590,勾,be bent:slope:capture,8,,かぎ:ま.がる:コウ:ク,52fe
591,孔,cavity:hole:slit:very:great:exceedingly,8,1,あな:コウ:ク,5b54
592,功,achievement:merits:success:honor:credit,4,1,いさお:コウ:ク,529f
593,巧,adroit:skilled:ingenuity,8,1,たく.み:たく.む:うま.い:コウ,5de7
594,広,wide:broad:spacious,2,3,ひろ.い:ひろ.まる:ひろ.める:ひろ.がる:ひろ.げる:コウ,5e83
595,甲,armor:high (voice):A grade:first class:former:instep:carapace,8,1,きのえ:コウ:カン,7532
596,交,mingle:mixing:association:coming & going,2,2,まじ.わる:まじ.える:ま.じる:まじ.る:ま.ざる:ま.ぜる:-か.う:か.わす:かわ.す:こもごも:コウ,4ea4
597,光,ray:light,2,3,ひか.る:ひかり:コウ,5149
598,向,yonder:facing:beyond:confront:defy:tend toward:approach,3,2,む.く:む.い:-む.き:む.ける:-む.け:む.かう:む.かい:む.こう:む.こう-:むこ:むか.い:コウ,5411
599,后,empress:queen:after:behind:back:later,6,1,きさき:コウ:ゴ,540e
600,好,fond:pleasing:like something,4,3,この.む:す.く:よ.い:い.い:コウ,597d
601,江,creek:inlet:bay,8,1,え:コウ,6c5f
602,考,consider:think over,2,3,かんが.える:かんが.え:コウ,8003
603,行,going:journey:carry out:conduct:act:line:row:bank,2,4,い.く:ゆ.く:-ゆ.き:-ゆき:-い.き:-いき:おこな.う:おこ.なう:コウ:ギョウ:アン,884c
604,坑,pit:hole,8,1,コウ,5751
605,孝,filial piety:child's respect,6,1,コウ:キョウ,5b5d
606,抗,confront:resist:defy:oppose,8,1,あらが.う:コウ,6297
607,攻,aggression:attack:criticize:polish,8,1,せ.める:コウ,653b
608,更,grow late:night watch:sit up late:of course:renew:renovate:again:more and more:further,8,2,さら:さら.に:ふ.ける:ふ.かす:コウ,66f4
609,効,merit:efficacy:efficiency:benefit,5,2,き.く:ききめ:なら.う:コウ,52b9
610,幸,happiness:blessing:fortune,3,2,さいわ.い:さち:しあわ.せ:コウ,5e78
611,拘,arrest:seize:concerned:adhere to:despite,8,1,かか.わる:コウ,62d8
612,肯,agreement:consent:comply with,8,2,がえんじ.る:コウ,80af
613,侯,marquis:lord:daimyo,8,1,コウ,4faf
614,厚,thick:heavy:rich:kind:cordial:brazen:shameless,5,2,あつ.い:あか:コウ,539a
615,恒,constancy:always,8,1,つね:つねに:コウ,6052
616,洪,deluge:flood:vast,8,1,コウ,6d2a
617,皇,emperor,6,1,コウ:オウ,7687
618,紅,crimson:deep red,6,2,べに:くれない:あか.い:コウ:ク,7d05
619,荒,laid waste:rough:rude:wild,8,2,あら.い:あら-:あ.れる:あ.らす:-あ.らし:すさ.む:コウ,8352
620,郊,outskirts:suburbs:rural area,8,2,コウ,90ca
621,香,incense:smell:perfume,8,2,か:かお.り:かお.る:コウ:キョウ,9999
622,候,climate:season:weather:wait for:expect,4,2,そうろう:コウ,5019
623,校,exam:school:printing:proof:correction,1,4,コウ:キョウ,6821
624,耕,till:plow:cultivate,5,2,たがや.す:コウ,8015
625,航,navigate:sail:cruise:fly,4,2,コウ,822a
626,貢,tribute:support:finance,8,1,みつ.ぐ:コウ:ク,8ca2
627,降,descend:precipitate:fall:surrender,6,2,お.りる:お.ろす:ふ.る:ふ.り:くだ.る:くだ.す:コウ:ゴ,964d
628,高,tall:high:expensive,2,4,たか.い:たか:-だか:たか.まる:たか.める:コウ,9ad8
629,康,ease:peace,4,2,コウ,5eb7
630,控,withdraw:draw in:hold back:refrain from:be moderate,8,1,ひか.える:ひか.え:コウ,63a7
631,梗,for the most part:close up:flower stem,8,,ふさぐ:やまにれ:おおむね:コウ:キョウ,6897
632,黄,yellow,2,2,き:こ-:コウ:オウ,9ec4
633,喉,throat:voice,8,,のど:コウ,5589
634,慌,disconcerted:be confused:lose one's head,8,1,あわ.てる:あわ.ただしい:コウ,614c
635,港,harbor,3,2,みなと:コウ,6e2f
636,硬,stiff:hard,8,2,かた.い:コウ,786c
637,絞,strangle:constrict:wring,8,1,しぼ.る:し.める:し.まる:コウ,7d5e
638,項,paragraph:nape of neck:clause:item:term (expression),8,1,うなじ:コウ,9805
639,溝,gutter:ditch:sewer:drain:10**32,8,1,みぞ:コウ,6e9d
640,鉱,mineral:ore,5,2,あらがね:コウ,9271
641,構,posture:build:pretend,5,2,かま.える:かま.う:コウ,69cb
642,綱,hawser:class (genus):rope:cord:cable,8,1,つな:コウ,7db1
643,酵,fermentation,8,1,コウ,9175
644,稿,draft:copy:manuscript:straw,8,1,わら:したがき:コウ,7a3f
645,興,entertain:revive:retrieve:interest:pleasure,5,1,おこ.る:おこ.す:コウ:キョウ,8208
646,衡,equilibrium:measuring rod:scale,8,1,コウ,8861
647,鋼,steel,6,1,はがね:コウ,92fc
648,講,lecture:club:association,5,2,コウ,8b1b
649,購,subscription:buy,8,1,コウ,8cfc
650,乞,beg:invite:ask,8,,こ.う:コツ:キツ:キ:キケ:コチ,4e5e
651,号,nickname:number:item:title:pseudonym:name:call,3,2,さけ.ぶ:よびな:ゴウ,53f7
652,合,fit:suit:join:0.1,2,3,あ.う:-あ.う:あ.い:あい-:-あ.い:-あい:あ.わす:あ.わせる:-あ.わせる:ゴウ:ガッ:カッ,5408
653,拷,torture:beat,8,1,ゴウ,62f7
654,剛,sturdy:strength,8,1,ゴウ,525b
655,傲,be proud,8,,おご.る:あなど.る:ゴウ,50b2
656,豪,overpowering:great:powerful:excelling:Australia,8,1,えら.い:ゴウ,8c6a
657,克,overcome:kindly:skillfully,8,1,か.つ:コク,514b
658,告,revelation:tell:inform:announce,4,2,つ.げる:コク,544a
659,谷,valley,2,2,たに:きわ.まる:コク,8c37
660,刻,engrave:cut fine:chop:hash:mince:time:carving,6,2,きざ.む:きざ.み:コク,523b
661,国,country,2,4,くに:コク,56fd
662,黒,black,2,3,くろ:くろ.ずむ:くろ.い:コク,9ed2
663,穀,cereals:grain,6,1,コク,7a40
664,酷,cruel:severe:atrocious:unjust,8,1,ひど.い:コク,9177
665,獄,prison:jail,8,1,ゴク,7344
666,骨,skeleton:bone:remains:frame,6,2,ほね:コツ,9aa8
667,駒,pony:horse:colt,8,1,こま:ク,99d2
668,込,crowded:mixture:in bulk:included:(kokuji),8,2,-こ.む:こ.む:こ.み:-こ.み:こ.める,8fbc
669,頃,time:about:toward,8,,ころ:ごろ:しばら.く:ケイ:キョウ,9803
670,今,now,2,4,いま:コン:キン,4eca
671,困,quandary:become distressed:annoyed,6,2,こま.る:コン,56f0
672,昆,descendants:elder brother:insect,8,1,コン,6606
673,恨,regret:bear a grudge:resentment:malice:hatred,8,1,うら.む:うら.めしい:コン,6068
674,根,root:radical:head (pimple),3,2,ね:-ね:コン,6839
675,婚,marriage,8,2,コン,5a5a
676,混,mix:blend:confuse,5,2,ま.じる:-ま.じり:ま.ざる:ま.ぜる:こ.む:コン,6df7
677,痕,mark:foot print,8,,あと:コン,75d5
678,紺,dark blue:navy,8,1,コン,7d3a
679,魂,soul:spirit,8,1,たましい:たま:コン,9b42
680,墾,ground-breaking:open up farmland,8,1,は.る:ひら.く:コン,58be
681,懇,sociable:kind:courteous:hospitable:cordial,8,1,ねんご.ろ:コン,61c7
682,左,left,1,4,ひだり:サ:シャ,5de6
683,佐,assistant:help,8,1,サ,4f50
684,沙,sand,8,1,すな:よなげる:サ:シャ,6c99
685,査,investigate,5,2,サ,67fb
686,砂,sand,6,2,すな:サ:シャ,7802
